timestamp,system_time,machine_id,logical_clock,event_type,queue_length,message,vm_id,clock_rate,time_since_start,prev_lc,lc_jump
2025-02-27 18:32:36,1740699156.0,2,0,other,0,2025-02-27 18:32:36.f - M2 [LC:0] Initialized with clock rate 5 ticks/second,2,5,0.0,0.0,0.0
2025-02-27 18:32:36,1740699156.0,0,0,other,0,2025-02-27 18:32:36.f - M0 [LC:0] Connected to VM 2 on port 10002,0,3,0.0,0.0,0.0
2025-02-27 18:32:36,1740699156.0,0,1,other,0,2025-02-27 18:32:36.f - M0 [LC:1] Started VM 0 with clock rate 3,0,3,0.0,0.0,1.0
2025-02-27 18:32:36,1740699156.0,0,1,send_all,0,2025-02-27 18:32:36.f - M0 [LC:1] Sent messages to all VMs,0,3,0.0,1.0,0.0
2025-02-27 18:32:36,1740699156.0,0,2,internal,0,2025-02-27 18:32:36.f - M0 [LC:2] Internal event,0,3,0.0,1.0,1.0
2025-02-27 18:32:36,1740699156.0,1,0,other,0,2025-02-27 18:32:36.f - M1 [LC:0] Initialized with clock rate 3 ticks/second,1,3,0.0,0.0,0.0
2025-02-27 18:32:36,1740699156.0,1,0,other,0,2025-02-27 18:32:36.f - M1 [LC:0] Connected to VM 0 on port 10000,1,3,0.0,0.0,0.0
2025-02-27 18:32:36,1740699156.0,1,0,other,0,2025-02-27 18:32:36.f - M1 [LC:0] Connected to VM 2 on port 10002,1,3,0.0,0.0,0.0
2025-02-27 18:32:36,1740699156.0,1,1,send_one,0,2025-02-27 18:32:36.f - M1 [LC:1] Sent message to VM 2,1,3,0.0,0.0,1.0
2025-02-27 18:32:36,1740699156.0,1,1,other,0,2025-02-27 18:32:36.f - M1 [LC:1] Started VM 1 with clock rate 3,1,3,0.0,1.0,0.0
2025-02-27 18:32:36,1740699156.0,1,2,receive,0,2025-02-27 18:32:36.f - M1 [LC:2] Received message. Queue length: 0,1,3,0.0,1.0,1.0
2025-02-27 18:32:36,1740699156.0,0,0,other,0,2025-02-27 18:32:36.f - M0 [LC:0] Connected to VM 1 on port 10001,0,3,0.0,0.0,0.0
2025-02-27 18:32:36,1740699156.0,0,0,other,0,2025-02-27 18:32:36.f - M0 [LC:0] Initialized with clock rate 3 ticks/second,0,3,0.0,0.0,0.0
2025-02-27 18:32:36,1740699156.0,2,0,other,0,2025-02-27 18:32:36.f - M2 [LC:0] Connected to VM 1 on port 10001,2,5,0.0,0.0,0.0
2025-02-27 18:32:36,1740699156.0,2,3,receive,0,2025-02-27 18:32:36.f - M2 [LC:3] Received message. Queue length: 0,2,5,0.0,2.0,1.0
2025-02-27 18:32:36,1740699156.0,2,1,other,0,2025-02-27 18:32:36.f - M2 [LC:1] Started VM 2 with clock rate 5,2,5,0.0,1.0,0.0
2025-02-27 18:32:36,1740699156.0,2,1,internal,0,2025-02-27 18:32:36.f - M2 [LC:1] Internal event,2,5,0.0,0.0,1.0
2025-02-27 18:32:36,1740699156.0,2,0,other,0,2025-02-27 18:32:36.f - M2 [LC:0] Connected to VM 0 on port 10000,2,5,0.0,0.0,0.0
2025-02-27 18:32:36,1740699156.0,2,2,receive,1,2025-02-27 18:32:36.f - M2 [LC:2] Received message. Queue length: 1,2,5,0.0,1.0,1.0
2025-02-27 18:32:37,1740699157.0,2,4,internal,0,2025-02-27 18:32:37.f - M2 [LC:4] Internal event,2,5,1.0,3.0,1.0
2025-02-27 18:32:37,1740699157.0,2,5,receive,0,2025-02-27 18:32:37.f - M2 [LC:5] Received message. Queue length: 0,2,5,1.0,4.0,1.0
2025-02-27 18:32:37,1740699157.0,0,5,receive,0,2025-02-27 18:32:37.f - M0 [LC:5] Received message. Queue length: 0,0,3,1.0,4.0,1.0
2025-02-27 18:32:37,1740699157.0,0,4,receive,0,2025-02-27 18:32:37.f - M0 [LC:4] Received message. Queue length: 0,0,3,1.0,3.0,1.0
2025-02-27 18:32:37,1740699157.0,0,3,internal,0,2025-02-27 18:32:37.f - M0 [LC:3] Internal event,0,3,1.0,2.0,1.0
2025-02-27 18:32:37,1740699157.0,2,8,receive,0,2025-02-27 18:32:37.f - M2 [LC:8] Received message. Queue length: 0,2,5,1.0,5.0,3.0
2025-02-27 18:32:37,1740699157.0,2,7,internal,0,2025-02-27 18:32:37.f - M2 [LC:7] Internal event,2,5,1.0,8.0,-1.0
2025-02-27 18:32:37,1740699157.0,1,3,send_all,0,2025-02-27 18:32:37.f - M1 [LC:3] Sent messages to all VMs,1,3,1.0,2.0,1.0
