timestamp,system_time,machine_id,logical_clock,event_type,queue_length,message,vm_id,clock_rate,time_since_start,prev_lc,lc_jump
2025-02-27 18:22:18,1740698538.0,2,12,internal,0,2025-02-27 18:22:18.f - M2 [LC:12] Internal event,2,4,2.0,9.0,1.0
2025-02-27 18:22:18,1740698538.0,0,6,internal,0,2025-02-27 18:22:18.f - M0 [LC:6] Internal event,0,2,2.0,4.0,1.0
2025-02-27 18:22:18,1740698538.0,2,11,internal,0,2025-02-27 18:22:18.f - M2 [LC:11] Internal event,2,4,2.0,0.0,9.0
2025-02-27 18:22:18,1740698538.0,0,14,receive,0,2025-02-27 18:22:18.f - M0 [LC:14] Received message. Queue length: 0,0,2,2.0,10.0,-4.0
2025-02-27 18:22:18,1740698538.0,1,15,send_all,0,2025-02-27 18:22:18.f - M1 [LC:15] Sent messages to all VMs,1,5,2.0,12.0,3.0
2025-02-27 18:22:18,1740698538.0,1,14,internal,0,2025-02-27 18:22:18.f - M1 [LC:14] Internal event,1,5,2.0,15.0,-1.0
2025-02-27 18:22:18,1740698538.0,1,13,send_all,0,2025-02-27 18:22:18.f - M1 [LC:13] Sent messages to all VMs,1,5,2.0,11.0,2.0
2025-02-27 18:22:18,1740698538.0,1,12,internal,0,2025-02-27 18:22:18.f - M1 [LC:12] Internal event,1,5,2.0,13.0,-1.0
2025-02-27 18:22:18,1740698538.0,2,15,internal,0,2025-02-27 18:22:18.f - M2 [LC:15] Internal event,2,4,2.0,13.0,-1.0
2025-02-27 18:22:18,1740698538.0,2,14,receive,0,2025-02-27 18:22:18.f - M2 [LC:14] Received message. Queue length: 0,2,4,2.0,7.0,4.0
2025-02-27 18:22:18,1740698538.0,1,11,internal,0,2025-02-27 18:22:18.f - M1 [LC:11] Internal event,1,5,2.0,7.0,4.0
2025-02-27 18:22:19,1740698539.0,0,16,receive,0,2025-02-27 18:22:19.f - M0 [LC:16] Received message. Queue length: 0,0,2,3.0,8.0,-1.0
2025-02-27 18:22:19,1740698539.0,0,18,receive,0,2025-02-27 18:22:19.f - M0 [LC:18] Received message. Queue length: 0,0,2,3.0,6.0,2.0
2025-02-27 18:22:19,1740698539.0,2,16,receive,0,2025-02-27 18:22:19.f - M2 [LC:16] Received message. Queue length: 0,2,4,3.0,11.0,2.0
2025-02-27 18:22:19,1740698539.0,1,17,internal,0,2025-02-27 18:22:19.f - M1 [LC:17] Internal event,1,5,3.0,14.0,3.0
2025-02-27 18:22:19,1740698539.0,2,17,send_one,0,2025-02-27 18:22:19.f - M2 [LC:17] Sent message to VM 0,2,4,3.0,15.0,-1.0
2025-02-27 18:22:19,1740698539.0,2,19,receive,0,2025-02-27 18:22:19.f - M2 [LC:19] Received message. Queue length: 0,2,4,3.0,12.0,3.0
