2025-02-27 18:40:27.f - M2 [LC:0] Initialized with clock rate 1 ticks/second
2025-02-27 18:40:27.f - M2 [LC:0] Connected to VM 0 on port 10000
2025-02-27 18:40:27.f - M2 [LC:0] Connected to VM 1 on port 10001
2025-02-27 18:40:27.f - M2 [LC:1] Started VM 2 with clock rate 1
2025-02-27 18:40:27.f - M2 [LC:1] Sent message to VM 0
2025-02-27 18:40:28.f - M2 [LC:2] Received message. Queue length: 0
2025-02-27 18:40:29.f - M2 [LC:3] Internal event
2025-02-27 18:40:30.f - M2 [LC:12] Received message. Queue length: 0
2025-02-27 18:40:31.f - M2 [LC:14] Received message. Queue length: 0
2025-02-27 18:40:32.f - M2 [LC:15] Internal event
2025-02-27 18:40:33.f - M2 [LC:25] Received message. Queue length: 1
2025-02-27 18:40:34.f - M2 [LC:26] Received message. Queue length: 1
2025-02-27 18:40:35.f - M2 [LC:30] Received message. Queue length: 0
2025-02-27 18:40:36.f - M2 [LC:31] Sent messages to all VMs
2025-02-27 18:40:37.f - M2 [LC:42] Received message. Queue length: 0
2025-02-27 18:40:38.f - M2 [LC:43] Received message. Queue length: 1
2025-02-27 18:40:39.f - M2 [LC:46] Received message. Queue length: 0
2025-02-27 18:40:40.f - M2 [LC:52] Received message. Queue length: 1
2025-02-27 18:40:41.f - M2 [LC:56] Received message. Queue length: 1
2025-02-27 18:40:42.f - M2 [LC:57] Received message. Queue length: 1
2025-02-27 18:40:43.f - M2 [LC:62] Received message. Queue length: 1
2025-02-27 18:40:44.f - M2 [LC:67] Received message. Queue length: 1
2025-02-27 18:40:45.f - M2 [LC:69] Received message. Queue length: 2
2025-02-27 18:40:46.f - M2 [LC:74] Received message. Queue length: 3
2025-02-27 18:40:47.f - M2 [LC:75] Received message. Queue length: 5
2025-02-27 18:40:48.f - M2 [LC:78] Received message. Queue length: 4
2025-02-27 18:40:49.f - M2 [LC:80] Received message. Queue length: 6
2025-02-27 18:40:50.f - M2 [LC:83] Received message. Queue length: 7
2025-02-27 18:40:51.f - M2 [LC:84] Received message. Queue length: 9
2025-02-27 18:40:52.f - M2 [LC:85] Received message. Queue length: 13
2025-02-27 18:40:53.f - M2 [LC:90] Received message. Queue length: 12
2025-02-27 18:40:54.f - M2 [LC:91] Received message. Queue length: 11
2025-02-27 18:40:55.f - M2 [LC:92] Received message. Queue length: 11
2025-02-27 18:40:56.f - M2 [LC:94] Received message. Queue length: 12
2025-02-27 18:40:57.f - M2 [LC:96] Received message. Queue length: 12
2025-02-27 18:40:58.f - M2 [LC:99] Received message. Queue length: 11
2025-02-27 18:40:59.f - M2 [LC:100] Received message. Queue length: 10
2025-02-27 18:41:00.f - M2 [LC:101] Received message. Queue length: 10
2025-02-27 18:41:01.f - M2 [LC:102] Received message. Queue length: 10
2025-02-27 18:41:02.f - M2 [LC:103] Received message. Queue length: 12
2025-02-27 18:41:03.f - M2 [LC:104] Received message. Queue length: 12
2025-02-27 18:41:04.f - M2 [LC:105] Received message. Queue length: 11
2025-02-27 18:41:05.f - M2 [LC:106] Received message. Queue length: 11
2025-02-27 18:41:06.f - M2 [LC:118] Received message. Queue length: 10
2025-02-27 18:41:07.f - M2 [LC:119] Received message. Queue length: 10
2025-02-27 18:41:08.f - M2 [LC:120] Received message. Queue length: 11
2025-02-27 18:41:09.f - M2 [LC:125] Received message. Queue length: 11
2025-02-27 18:41:10.f - M2 [LC:135] Received message. Queue length: 11
2025-02-27 18:41:11.f - M2 [LC:136] Received message. Queue length: 12
2025-02-27 18:41:12.f - M2 [LC:138] Received message. Queue length: 12
2025-02-27 18:41:13.f - M2 [LC:145] Received message. Queue length: 12
2025-02-27 18:41:14.f - M2 [LC:146] Received message. Queue length: 12
2025-02-27 18:41:15.f - M2 [LC:149] Received message. Queue length: 12
2025-02-27 18:41:16.f - M2 [LC:156] Received message. Queue length: 13
2025-02-27 18:41:17.f - M2 [LC:161] Received message. Queue length: 14
2025-02-27 18:41:18.f - M2 [LC:170] Received message. Queue length: 14
2025-02-27 18:41:19.f - M2 [LC:171] Received message. Queue length: 15
2025-02-27 18:41:20.f - M2 [LC:174] Received message. Queue length: 16
2025-02-27 18:41:21.f - M2 [LC:177] Received message. Queue length: 16
2025-02-27 18:41:22.f - M2 [LC:179] Received message. Queue length: 15
2025-02-27 18:41:23.f - M2 [LC:180] Received message. Queue length: 15
2025-02-27 18:41:24.f - M2 [LC:186] Received message. Queue length: 14
2025-02-27 18:41:25.f - M2 [LC:187] Received message. Queue length: 15
2025-02-27 18:41:26.f - M2 [LC:193] Received message. Queue length: 15
2025-02-27 18:41:27.f - M2 [LC:194] Received message. Queue length: 15
2025-02-27 18:41:28.f - M2 [LC:199] Received message. Queue length: 16
2025-02-27 18:41:29.f - M2 [LC:201] Received message. Queue length: 15
2025-02-27 18:41:30.f - M2 [LC:201] Stopped VM 2
