Protocol_Version,Operation,Elapsed_Time
2,encode,2.174999099224806e-05
2,parse,0.000784709001891315
2,encode,9.209034033119678e-06
2,parse,0.00018420798005536199
2,encode,5.041947588324547e-06
2,parse,7.466704118996859e-05
2,encode,6.4159976318478584e-06
2,parse,0.00020616705296561122
2,encode,1.1666968930512667e-05
2,parse,0.00010850001126527786
2,encode,4.792003892362118e-06
2,parse,0.0003339579561725259
2,encode,2.3250002413988113e-05
2,parse,0.00014666595961898565
2,encode,8.457980584353209e-06
2,parse,0.00011883297702297568
2,encode,2.300000051036477e-05
2,parse,0.00013149995356798172
2,encode,9.000010322779417e-06
2,parse,0.00020362500799819827
2,encode,4.170800093561411e-05
2,parse,0.0007509170100092888
2,encode,7.875030860304832e-06
2,parse,0.00015550001990050077
2,encode,4.792003892362118e-06
2,parse,8.670799434185028e-05
2,encode,1.337495632469654e-05
2,parse,0.000161459029186517
2,encode,4.500034265220165e-06
2,parse,9.012501686811447e-05
2,encode,6.291025783866644e-06
2,parse,0.00012479099677875638
2,encode,2.1332991309463978e-05
2,parse,0.00015179201727733016
2,encode,7.4169947765767574e-06
2,parse,0.0002288749674335122
2,encode,5.125009920448065e-06
2,parse,8.662499021738768e-05
2,encode,6.583984941244125e-06
2,parse,0.00014583399752154946
2,encode,4.375004209578037e-06
2,parse,7.870804984122515e-05
2,encode,6.332993507385254e-06
2,parse,0.00022054201690480113
2,encode,7.2909751906991005e-06
2,parse,8.275004802271724e-05
2,encode,6.332993507385254e-06
2,parse,0.0001325830235145986
2,encode,4.875008016824722e-06
2,parse,9.14169941097498e-05
2,encode,2.874992787837982e-06
2,encode,1.3666984159499407e-05
2,parse,8.337502367794514e-05
2,encode,5.249981768429279e-06
2,encode,2.4170149117708206e-06
2,parse,0.0002715410082601011
2,parse,0.00031045801006257534
