Protocol_Version,Message_Size
2,154
2,54
2,149
2,60
2,143
2,60
2,151
2,54
2,151
2,55
2,151
2,54
2,148
2,88
2,222
2,56
2,149
2,54
2,152
2,54
2,146
2,88
2,149
2,88
2,172
2,63
2,208
2,83
2,81
